system   D            wsystem.c:583  maybe_parent_dir                 [   0.00119] Also searching D:\saper\
display  D   display_settings.c:191  debug_display_settings           [   0.03189] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03195] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03200] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03207] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03212] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03219] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03224] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03231] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03235] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03242] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03247] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03254] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03348] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03355] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03358] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03363] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03365] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03433] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03435] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03439] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03442] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03445] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03448] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03451] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03454] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03458] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03463] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03529] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03532] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03536] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03538] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03542] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03545] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03548] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03551] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03555] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03557] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03636] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03640] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03646] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03650] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03654] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03657] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03661] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03665] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03668] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03867] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03873] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03876] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03879] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03883] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03888] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03892] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03897] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03899] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03903] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03906] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03910] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03913] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03916] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03922] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03925] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03929] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03931] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03935] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03937] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03941] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03943] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03947] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03949] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03953] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03955] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03959] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03962] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03966] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03969] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03973] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03975] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03979] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03981] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03985] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03987] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03991] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.03993] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.03997] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.03999] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04003] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04006] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04010] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04014] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04018] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04021] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04024] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04027] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04030] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04033] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04037] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04039] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04044] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04048] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04054] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04056] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04064] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04072] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04092] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04098] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04104] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04109] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04115] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04120] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04126] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04130] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04136] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04140] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04146] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.04155] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.04220] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.04229] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.06753] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.08454] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.08461] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.08474] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.08482] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.08489] Returning d3d_display: 0069BBB0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.08495] al_display=0069BBB0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.08498] al_display->vt=0069BAF8
dtor     D               dtor.c:184  _al_register_destructor          [   0.09421] added dtor for object 005F9E50, func 0F1E24D2
dtor     D               dtor.c:184  _al_register_destructor          [   0.09448] added dtor for object 067C33B8, func 0F1E27A7
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.54630] removed dtor for object 005F9E50
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.54638] removed dtor for object 067C33B8
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [   0.54645] destroying display 0069BBB0 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [   0.54683] waiting for display 0069BBB0's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [   0.55975] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [   0.56739] d3d display thread exits
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   1.19555] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   1.19562] al_display=0686E0A8
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   1.19565] al_display->vt=0069BAF8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   1.19592] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   1.19597] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19602] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19605] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19609] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19611] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19615] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19619] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19624] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19627] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19631] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19633] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19637] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19640] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19643] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19646] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19650] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19653] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19656] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19659] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19663] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19665] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19669] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19672] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19676] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19678] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19682] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19685] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19689] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19691] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19695] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19698] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19701] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   1.19704] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19708] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19711] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19715] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19719] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19724] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19727] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19730] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19733] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19737] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19740] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19744] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19746] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19750] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19753] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19757] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19760] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19763] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19766] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19771] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19774] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19777] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19780] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19784] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19787] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19790] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19797] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19800] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19804] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19807] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19811] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   1.19814] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19818] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19821] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19824] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19827] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19831] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19834] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19837] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19840] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19844] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19846] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19850] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19853] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19856] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19859] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19863] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19865] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19871] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19874] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19877] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19880] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19884] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19886] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19890] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19893] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19896] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19899] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19903] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19905] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19909] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19912] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   1.19928] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   1.19932] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   1.19935] Single Buffer requirement not met.
